LFQ intensity 1_14012022_20220114150835	LFQ intensity 2_14012022	LFQ intensity 3_14012022	LFQ intensity 4_14012022	LFQ intensity 5_14012022	LFQ intensity 6_14012022	LFQ intensity 7_14012022	LFQ intensity 8_14012022	LFQ intensity 9_14012022	LFQ intensity 10_14012022	LFQ intensity 11_14012022	LFQ intensity 12_14012022	LFQ intensity 13_14012022	LFQ intensity 14_14012022	LFQ intensity 15_14012022	LFQ intensity 16_14012022	LFQ intensity 17_14012022	LFQ intensity 18_14012022	LFQ intensity 19_14012022	LFQ intensity 20_14012022	LFQ intensity 21_14012022	LFQ intensity 22_14012022	LFQ intensity 23_14012022	LFQ intensity 24_14012022	LFQ intensity 25_14012022	LFQ intensity 26_14012022	LFQ intensity 27_14012022	LFQ intensity 28_14012022_20220119082438	LFQ intensity 29_14012022_20220119110854	LFQ intensity 30_14012022_20220119135302	LFQ intensity 31_14012022_20220119163708	LFQ intensity 32_14012022_20220119192113	LFQ intensity 33_14012022_20220119220519	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
21.6497001647949	21.4906692504883	NaN	20.5058155059814	21.019100189209	20.0904216766357	20.7577610015869	20.6744365692139	21.5820579528809	20.470006942749	20.5577735900879	20.8030967712402	19.8477096557617	20.4733810424805	22.1929187774658	21.0096321105957	20.2359619140625	20.6248874664307	NaN	NaN	NaN	NaN	NaN	21.1986846923828	20.8897800445557	22.2002429962158	19.9417762756348	NaN	20.3390846252441	20.708345413208	20.553279876709	21.4175624847412	21.3458671569824				4	4	4	10	10	10	35.116	0	29.633	108810000	67	A0A182DWH7;P49908	A0A182DWH7;P49908	Selenoprotein P	SEPP1	32
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	8.6	8.6	8.6	35.785	0.0072727	3.6323	863380	3	H7C469;F8W787;A0A1B0GW44;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;C9JH19;A0A1B0GU92;A0A1B0GU03;P07339;F8WD96;A0A1B0GVP3	H7C469;F8W787;A0A1B0GW44;A0A1B0GV23;A0A1B0GVD5;A0A1B0GWE8;C9JH19;A0A1B0GU92;A0A1B0GU03;P07339;F8WD96;A0A1B0GVP3	Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	33
24.2293472290039	23.1558094024658	NaN	23.5973014831543	22.6535758972168	22.9591827392578	23.4730834960938	22.627140045166	23.3351097106934	23.6756229400635	24.0990867614746	23.9104042053223	22.546537399292	24.2978916168213	23.1253566741943	23.4281578063965	24.1885032653809	23.7366542816162	21.8120574951172	22.7597332000732	24.2582492828369	NaN	NaN	23.6315650939941	24.1453819274902	23.3297824859619	22.8451194763184	23.8719234466553	24.0042743682861	23.7650661468506	24.5902366638184	23.6776657104492	23.4856662750244			+	32	32	26	56.1	56.1	50.2	63.345	0	323.31	3957800000	913	A0A1B0GVI3;P13645;CON__P13645;CON__P02535-1;CON__Q148H6;CON__Q7Z3Y7;Q7Z3Y7;A0A3B3ITG2;CON__Q7Z3Y8;CON__Q99456;CON__Q7Z3Z0;CON__Q2M2I5;Q7Z3Y8;Q99456;Q2M2I5;Q7Z3Z0;CON__O76014;CON__REFSEQ:XP_986630;CON__O76015;CON__Q7Z3Y9;CON__O76013;CON__A2A5Y0;CON__A2AB72;O76013;Q7Z3Y9;O76015;O76014	A0A1B0GVI3;P13645;CON__P13645	Keratin, type I cytoskeletal 10	KRT10	34
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.9472808837891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.8268718719482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	5.9	5.9	5.9	21.402	0	5.8093	73778000	2	J3QLT3;E7ENF8;A0A1W2PRI7;Q15311	J3QLT3;E7ENF8;A0A1W2PRI7;Q15311	RalA-binding protein 1	RALBP1	35
22.0498943328857	23.2537860870361	NaN	23.2351894378662	22.8195419311523	23.6715240478516	23.5998020172119	22.989330291748	22.9412746429443	23.0268859863281	NaN	23.1211395263672	21.4248580932617	21.9399127960205	NaN	21.815580368042	22.5917892456055	NaN	NaN	NaN	NaN	22.6725177764893	22.9813556671143	22.699010848999	23.4318599700928	NaN	22.8123321533203	NaN	23.3193454742432	23.1372737884521	23.1936264038086	21.9473876953125	22.2265853881836				13	7	5	34.5	21.7	15.5	49.021	0	77.182	371450000	113	A0A286YES1;A0A4W9A917;P01860	A0A286YES1;A0A4W9A917;P01860	Ig gamma-3 chain C region	IGHG3	36
23.2063369750977	23.752462387085	NaN	23.4063930511475	23.4924049377441	23.4785251617432	23.3554153442383	23.7005996704102	23.6439437866211	23.3132667541504	23.3352451324463	24.3399410247803	23.2596874237061	23.0584087371826	22.2638473510742	23.1109848022461	23.3800735473633	23.4176387786865	21.7401599884033	21.628942489624	20.8407649993896	22.3213272094727	23.2199115753174	22.6747169494629	22.7338447570801	21.1713333129883	22.62477684021	21.7881164550781	22.8403434753418	22.520565032959	22.9399299621582	21.9640579223633	22.8393440246582				15	15	7	47	47	24.6	42.848	0	323.31	1357500000	356	A0A286YEY1;P01876	A0A286YEY1;P01876	Ig alpha-1 chain C region	IGHA1	37
20.3289337158203	20.6115322113037	NaN	NaN	20.4539260864258	20.2733268737793	20.8968181610107	20.3780364990234	20.4967765808105	NaN	20.4535236358643	20.479808807373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.7849254608154	NaN	NaN	NaN	20.6017742156982	20.6510581970215	21.0681533813477	NaN	19.989538192749				9	3	3	31.6	14.9	14.9	43.805	0	14.098	61707000	28	A0A286YEY4;P01859	A0A286YEY4;P01859	Ig gamma-2 chain C region	IGHG2	38
21.571310043335	22.7787227630615	NaN	22.3497314453125	22.5179004669189	22.8363609313965	22.7582092285156	22.8474903106689	22.701847076416	21.9619045257568	21.771125793457	23.8030185699463	19.7808303833008	19.705379486084	NaN	NaN	20.3222370147705	NaN	NaN	NaN	NaN	NaN	21.3998394012451	NaN	20.0228290557861	NaN	NaN	NaN	21.2529201507568	20.6802883148193	21.5843982696533	NaN	NaN				11	4	3	37.6	18.2	14.6	43.831	0	85.894	249310000	79	A0A286YFJ8;P01861	A0A286YFJ8;P01861	Ig gamma-4 chain C region	IGHG4	39
19.8116664886475	20.3910007476807	NaN	19.9254379272461	19.5582218170166	19.1539535522461	19.6069145202637	19.7688980102539	19.9813385009766	19.7720756530762	19.9127044677734	19.9853744506836	18.8409805297852	19.0232353210449	19.3055229187012	18.9887065887451	18.8832454681396	19.4010162353516	NaN	NaN	NaN	19.4168300628662	19.384838104248	19.6960849761963	18.9952373504639	NaN	18.7705612182617	NaN	18.9592609405518	17.0118160247803	17.2263736724854	19.1698417663574	17.2004585266113				2	2	2	31.5	31.5	31.5	11.842	0	276.61	61525000	94	A0A2Q2TTZ9;P01594;P01593	A0A2Q2TTZ9;P01594;P01593	Ig kappa chain V-I region AU;Ig kappa chain V-I region AG		40
NaN	18.9742698669434	NaN	18.1081466674805	18.7851009368896	18.0652370452881	18.4806957244873	18.4482688903809	19.0304183959961	NaN	NaN	18.5337028503418	18.1208057403564	NaN	NaN	18.6410713195801	18.4965419769287	18.6582946777344	NaN	NaN	NaN	NaN	18.3806800842285	18.5858211517334	18.147533416748	19.621208190918	18.6685447692871	19.2166519165039	18.5188369750977	19.0434551239014	18.4171199798584	18.690502166748	19.6186466217041				7	7	7	16.1	16.1	16.1	65.059	0	122.96	41321000	63	G3XAM2;E7ETH0;A0A2R8Y3M9;P05156;D6R9Z8;CON__Q32PI4	G3XAM2;E7ETH0;A0A2R8Y3M9;P05156	Complement factor I;Complement factor I heavy chain;Complement factor I light chain	CFI	41
19.4275493621826	19.2513484954834	NaN	19.6361217498779	19.2081966400146	20.0306625366211	19.769624710083	20.286922454834	20.7437801361084	20.3957138061523	NaN	20.2333908081055	20.4685173034668	21.0306625366211	22.5221462249756	20.61279296875	20.1533832550049	20.8578720092773	22.4639854431152	22.5376319885254	23.4186687469482	21.2821216583252	21.4840431213379	20.8162841796875	21.2523994445801	23.0397415161133	20.0951957702637	23.0379676818848	21.1680927276611	NaN	18.983678817749	20.523344039917	18.1248474121094			+	6	6	3	26.2	26.2	12.5	28.521	0	18.2	130230000	40	P67936;A0A2R8Y5V9;A0A2R8YGX3;A0A2R8YE05;A0A2R2Y2Q3;CON__Q3SX28;A0A0S2Z4G6;A7XZE4;Q5TCU3;A0A2R8YHD2;A0A590UK79;Q6ZN40;A0A590UJB9;K7ENT6;A0A494C0P6;A0A2R8YEU4;H0YKP3;H0YKX5;A0A494C0G0;H0YL80;P07951;P09493;P06753;A0A2R8YH90	P67936;A0A2R8Y5V9;A0A2R8YGX3;A0A2R8YE05;A0A2R2Y2Q3;CON__Q3SX28;A0A0S2Z4G6;A7XZE4;Q5TCU3;A0A2R8YHD2;A0A590UK79;Q6ZN40;A0A590UJB9;K7ENT6;A0A494C0P6;A0A2R8YEU4;H0YKP3;H0YKX5;A0A494C0G0;H0YL80;P07951;P09493;P06753;A0A2R8YH90	Tropomyosin alpha-4 chain;Tropomyosin beta chain;Tropomyosin alpha-1 chain;Tropomyosin alpha-3 chain	TPM4;TPM2b;TPM2;TPM1;TPM3	42
20.8178462982178	20.5102653503418	25.9786930084229	20.6907253265381	19.9265689849854	20.3562755584717	20.9166316986084	19.987735748291	20.098669052124	21.2086601257324	20.8746280670166	20.0496616363525	19.8499851226807	20.3889007568359	21.5628128051758	20.3215751647949	19.6074199676514	20.0911979675293	20.9909229278564	20.2215213775635	21.774787902832	21.0634212493896	21.8521289825439	20.2162017822266	20.692684173584	21.5848579406738	20.29860496521	21.0671691894531	19.2877578735352	19.6787071228027	20.1155319213867	20.5401878356934	19.8237972259521				7	7	6	30	30	25.8	47.327	0	17.949	87690000	101	A0A2R8Y6G6;P06733;K7EM90;A0A2R8YEM5;A0A2R8Y798;K7ERS8;A0A2R8YEG5;A0A2R8Y879;E5RI09;E5RG95;K7EPM1;K7EKN2;E5RGZ4;P13929	A0A2R8Y6G6;P06733;K7EM90	Alpha-enolase;Enolase	ENO1	43
20.5779151916504	20.5917663574219	NaN	19.8344211578369	20.5245876312256	20.058012008667	19.9126758575439	19.6295032501221	20.1967658996582	20.1570911407471	20.4802017211914	20.0668411254883	20.7269191741943	21.0770511627197	21.4958000183105	21.0567569732666	19.9633865356445	21.0977058410645	NaN	NaN	NaN	20.3843746185303	20.2347946166992	20.828577041626	20.1224994659424	20.1819229125977	20.1872501373291	20.1954441070557	20.124267578125	19.3708190917969	19.2118129730225	20.3373432159424	19.5816345214844				7	4	4	28.3	15.4	15.4	28.912	0	25.738	107680000	46	V9GYE7;A0A3B3IQ51;P36980;A0A3B3ISW6;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28	V9GYE7;A0A3B3IQ51;P36980;A0A3B3ISW6;A0A3B3IRW0;A0A3B3IS00;A0A3B3IS28	Complement factor H-related protein 2	CFHR2	44
19.2243747711182	20.042064666748	NaN	19.7996711730957	19.8107566833496	19.7047710418701	19.9197483062744	20.034294128418	19.8896903991699	20.2786674499512	19.3821392059326	19.6670036315918	20.2151355743408	20.2572994232178	NaN	20.1170539855957	19.8178768157959	20.4869918823242	NaN	NaN	NaN	19.7784099578857	20.5050392150879	20.0598621368408	20.1989250183105	NaN	20.4068603515625	18.7437953948975	20.8743267059326	21.0661182403564	20.9275226593018	20.1040554046631	20.7325611114502				21	21	21	35.7	35.7	35.7	80.173	0	63.498	282870000	152	A0A3B3ISR2;B4DPQ0;P00736;F5H2D0;A0A3B3ITU4;F5H1V0;F5H6Y3;F5H3N3;F5H1N6;F5GWL0;F5H3A3;H0YFL7;Q9NZP8	A0A3B3ISR2;B4DPQ0;P00736;F5H2D0	Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain	C1R	45
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.5398101806641	17.9224796295166	17.4769840240479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				6	3	3	27.8	13.9	13.9	28.524	0	6.5502	4025100	9	F5H7S3;H7BYY1;H0YKJ4;H0YK48;A0A494BZZ2;B7Z596;H0YN06	F5H7S3;H7BYY1;H0YKJ4;H0YK48;A0A494BZZ2;B7Z596		TPM1	46
20.2781009674072	20.5127754211426	NaN	20.4164791107178	20.2077674865723	19.8766059875488	20.5796661376953	20.0701217651367	20.6130619049072	20.0463352203369	20.3150653839111	20.8012828826904	20.240629196167	20.2319850921631	NaN	20.2272911071777	20.1677856445313	20.4093494415283	NaN	NaN	NaN	NaN	20.8169078826904	20.6186294555664	20.3724136352539	NaN	20.7273349761963	NaN	20.7939205169678	19.5121765136719	19.4274272918701	20.9883594512939	19.1509075164795				3	3	3	43.1	43.1	43.1	11.043	0	34.113	110070000	40	A0A5H1ZRS2;A0A087X0Q4;A0A075B6P5;A0A087WW87;P01615;P01614;A0A5H1ZRS9;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;P06310	A0A5H1ZRS2;A0A087X0Q4;A0A075B6P5;A0A087WW87;P01615;P01614	Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum	IGKV2-40;IGKV2D-28	47
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				3	3	3	14	14	14	44.266	0	7.3238	6139800	4	A0A669KB69;Q6Q788	A0A669KB69;Q6Q788	Apolipoprotein A-V	APOA5	48
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.4479064941406	18.4520568847656	NaN	19.0849857330322	17.6831874847412	18.8012351989746	NaN	NaN	NaN	18.3325881958008	NaN	18.0114345550537	17.3141574859619	NaN	17.595724105835	NaN	17.7918243408203	NaN	NaN	18.3733062744141	NaN				2	2	2	13.6	13.6	13.6	21.882	0.0038462	4.2917	9206800	7	A0A6Q8PFK8;A0A6Q8PGK1;P04792;C9J3N8;A0A6Q8PFE7;A0A6Q8PF43;A0A6Q8PHJ6;A0A6Q8PHA6;A0A6Q8PH65;A0A6Q8PGY2	A0A6Q8PFK8;A0A6Q8PGK1;P04792;C9J3N8;A0A6Q8PFE7;A0A6Q8PF43;A0A6Q8PHJ6;A0A6Q8PHA6;A0A6Q8PH65;A0A6Q8PGY2	Heat shock protein beta-1	HSPB1	49
21.009973526001	20.8049087524414	NaN	20.7385120391846	20.8589344024658	20.1109523773193	20.3571357727051	20.3780364990234	20.6826038360596	20.0642108917236	20.5734844207764	20.7417240142822	20.3250942230225	20.555154800415	21.4028072357178	20.8177680969238	21.2859077453613	20.5163383483887	NaN	20.4990158081055	21.2155494689941	20.499698638916	20.8000183105469	21.6639671325684	20.6145915985107	21.9616222381592	21.1023273468018	21.7993068695068	20.7120475769043	21.412971496582	20.6800289154053	22.1187019348145	21.8552112579346				9	9	9	20.1	20.1	20.1	53.213	0	44.2	229270000	93	A0A7I2V2D2;E9PGN7;P05155;H9KV48;A0A7I2V5R3;A0A087WUD9;A0A7I2V2X2;A0A7I2V4I9	A0A7I2V2D2;E9PGN7;P05155;H9KV48;A0A7I2V5R3;A0A087WUD9	Plasma protease C1 inhibitor	SERPING1	50
20.3131847381592	20.0651321411133	NaN	19.8678722381592	19.2386703491211	19.6460742950439	NaN	NaN	NaN	NaN	NaN	19.8844242095947	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.5333976745605	19.7413787841797	19.8792266845703	20.2762832641602	NaN	21.0385189056396	NaN	20.2211666107178	18.8846778869629	20.9141521453857	19.8152675628662				5	5	5	9.7	9.7	9.7	82.23	0	11.529	40511000	23	H7C4K3;A0A7I2V348;A0A7I2V2F9;E7EUI6;C9JPK5;P05556;A0A7I2V5Z8;A0A7I2V5T3;Q5T3E6;E9PLR6;E7EQW5;H7C4N8	H7C4K3;A0A7I2V348;A0A7I2V2F9;E7EUI6;C9JPK5;P05556;A0A7I2V5Z8;A0A7I2V5T3	Integrin beta;Integrin beta-1	ITGB1	51
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	7.9	7.9	7.9	51.233	0.0072993	3.6328	1085100	2	A0A7I2YQK6;A0A7I2V599;A0A7I2V2X6;P10809;C9J0S9;C9JL19;C9JCQ4;C9JL25;E7EXB4;E7ESH4;A0A7I2V5K3;A0A7I2YQ71;A0A7I2V369;A0A7I2V5M1	A0A7I2YQK6;A0A7I2V599;A0A7I2V2X6;P10809;C9J0S9;C9JL19;C9JCQ4;C9JL25;E7EXB4;E7ESH4;A0A7I2V5K3;A0A7I2YQ71;A0A7I2V369;A0A7I2V5M1	60 kDa heat shock protein, mitochondrial	HSPD1	52
18.3629035949707	NaN	25.4247035980225	18.0117073059082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5014476776123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	25.6	25.6	25.6	16.984	0	7.2946	11586000	7	A0A7I2V433;A0A7I2V2X9;A0A7I2V3U2;A0A7I2V5S2;A0A7I2YQC0;P06748;A0A7I2V3G5;A0A7I2V579;A0A7I2V4G8;A0A7I2V5J8;E5RI98	A0A7I2V433;A0A7I2V2X9;A0A7I2V3U2;A0A7I2V5S2;A0A7I2YQC0;P06748;A0A7I2V3G5;A0A7I2V579;A0A7I2V4G8;A0A7I2V5J8;E5RI98	Nucleophosmin	NPM1	53
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	31.2	31.2	31.2	5.0969	0	9.834	3358200	7	G3V3K9;G3V4I1;A0A7I2V5Z4;A0A7I2V3B4;A0A7I2V5I2;A0A7I2V3G4;A0A7I2V4U2;A0A7I2V4B8;A0A7I2V590;G3V2M8;A0A7I2V362;A0A7I2V3C9;A0A7I2YQR2;A0A7I2V534;H0YJY1;A0A7I2V5R9;J3KNG4;G3V5F3;A0A7I2V3Y3;A0A7I2V414;A0A7I2V4B9;Q8WVM8	G3V3K9;G3V4I1;A0A7I2V5Z4;A0A7I2V3B4;A0A7I2V5I2;A0A7I2V3G4;A0A7I2V4U2;A0A7I2V4B8;A0A7I2V590;G3V2M8;A0A7I2V362;A0A7I2V3C9;A0A7I2YQR2;A0A7I2V534;H0YJY1;A0A7I2V5R9;J3KNG4;G3V5F3;A0A7I2V3Y3;A0A7I2V414;A0A7I2V4B9;Q8WVM8	Sec1 family domain-containing protein 1	SCFD1	54
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				2	2	2	7.1	7.1	7.1	38.604	0	7.0297	8074800	22	P07355;A0A7I2V4P4;H0YN42;H0YMU9;H0YMD0;H0YNB8;H0YKS4;H0YMM1;H0YMW4;H0YLV6;H0YMT9;H0YKX9;H0YN28;H0YMD9;H0YKZ7;H0YNP5;H0YKL9;H0YKV8;H0YL33;H0YNA0;H0YM50;A6NMY6;H0YLE2	P07355;A0A7I2V4P4;H0YN42;H0YMU9;H0YMD0;H0YNB8;H0YKS4;H0YMM1;H0YMW4;H0YLV6;H0YMT9;H0YKX9;H0YN28;H0YMD9;H0YKZ7;H0YNP5;H0YKL9;H0YKV8;H0YL33;H0YNA0;H0YM50;A6NMY6;H0YLE2	Annexin A2;Annexin;Putative annexin A2-like protein	ANXA2;ANXA2P2	55
19.1519985198975	18.153829574585	NaN	18.7431049346924	18.7334728240967	19.0850372314453	19.143404006958	19.507791519165	19.2825183868408	19.4344081878662	19.8569145202637	19.2768745422363	18.8632659912109	18.9351139068604	NaN	19.6605777740479	19.3173866271973	NaN	NaN	NaN	NaN	NaN	NaN	19.8774318695068	20.5992336273193	19.4351615905762	19.7306232452393	NaN	20.1595554351807	20.3301372528076	20.3608894348145	20.2841014862061	20.0891304016113				20	20	20	29	29	29	103.06	0	323.31	171770000	169	P12814;A0A7I2V4Y4;H9KV75;G3V2N5;G3V2W4;H0YJ11;H7C5W8;F5GXS2;H7C144;H0YJW3;O43707;G3V2X9;G3V5M4;A0A494C1A0;A0A087WSZ2;P35609;Q08043;A0A494C033;A0A494C166;G3V2E8;A0A494C0Q3;G3V380;A0A494C031	P12814;A0A7I2V4Y4;H9KV75	Alpha-actinin-1	ACTN1	56
19.8885021209717	20.5029048919678	NaN	19.0870838165283	18.5715980529785	18.4039936065674	NaN	18.2854118347168	19.431676864624	NaN	NaN	18.6043643951416	18.585599899292	19.1394863128662	NaN	18.6997489929199	19.1288547515869	NaN	NaN	19.3066806793213	NaN	19.6578941345215	19.5023040771484	19.4971656799316	19.646671295166	NaN	19.2403717041016	NaN	19.5207576751709	19.274715423584	19.1883144378662	19.8198261260986	20.159309387207				7	7	7	28.4	28.4	28.4	30.67	0	50.762	73368000	55	A0A7P0TAP4;A0A7P0Z441;A0A7P0T9S6;A0A7P0TA52;A0A7P0TBH1;A0A7P0T8D1;P01019	A0A7P0TAP4;A0A7P0Z441;A0A7P0T9S6;A0A7P0TA52;A0A7P0TBH1;A0A7P0T8D1;P01019	Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4	AGT	57
NaN	19.1040058135986	NaN	NaN	18.7123317718506	19.0136451721191	18.344425201416	18.4738159179688	18.7606868743896	NaN	19.2342319488525	19.1913051605225	18.4139003753662	18.7440910339355	NaN	18.4574375152588	18.2343502044678	NaN	NaN	NaN	NaN	18.9253234863281	NaN	19.1556587219238	18.873966217041	NaN	18.5704479217529	NaN	19.4795112609863	19.2195129394531	19.0209579467773	19.1055660247803	19.5597171783447				4	4	3	13.5	13.5	10.5	44.621	0	10.977	40415000	27	A0A7P0TAR4;J3KPY9;A0A7P0Z4A8;P58335;A0A0C4DG84	A0A7P0TAR4;J3KPY9;A0A7P0Z4A8;P58335;A0A0C4DG84	Anthrax toxin receptor 2	ANTXR2	58
NaN	20.3222370147705	NaN	NaN	20.3005046844482	19.2971038818359	20.1349582672119	20.1847114562988	21.2512435913086	20.3418006896973	NaN	NaN	NaN	20.7466526031494	NaN	20.178279876709	19.5246639251709	19.7163066864014	NaN	NaN	NaN	NaN	NaN	20.4104881286621	19.4260349273682	NaN	NaN	NaN	NaN	NaN	18.4140663146973	21.4818782806396	NaN				2	2	2	13.6	13.6	13.6	14.9	0	7.5966	51368000	18	C9JMX4;H0Y485;H0Y5K2;B3KWK7;A6XND1;A6XND0;P17936	C9JMX4;H0Y485;H0Y5K2;B3KWK7;A6XND1;A6XND0;P17936	Insulin-like growth factor-binding protein 3	IGFBP3	59
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				1	1	1	12.3	12.3	12.3	16.917	0.0095847	2.9379	1096600	3	A8MXT8;O00391	A8MXT8;O00391	Sulfhydryl oxidase 1	QSOX1	60
24.3250541687012	21.4492473602295	21.1974258422852	22.1371479034424	23.8612651824951	21.1228790283203	21.6786556243896	21.1867065429688	21.9679660797119	22.5192699432373	23.4014549255371	22.8496685028076	22.0569229125977	22.4572868347168	24.1812419891357	23.1755123138428	22.9123973846436	23.1100597381592	23.6357765197754	23.6641635894775	23.4541263580322	22.2796592712402	21.8342208862305	22.2643337249756	21.5747776031494	23.6270065307617	20.8033332824707	24.4893455505371	21.1463775634766	19.6567249298096	20.2031135559082	20.6463203430176	20.2137126922607				3	3	3	25.6	25.6	25.6	12.815	0	323.31	745880000	193	B0YIW2;P02656	B0YIW2;P02656	Apolipoprotein C-III	APOC3	61
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN				3	2	2	6.7	5.1	5.1	49.653	0.0068259	3.3232	1672900	3	B0YJC4;P08670;A0A1B0GTT5;B0YJC5	B0YJC4;P08670;A0A1B0GTT5	Vimentin	VIM	62
18.4200839996338	18.2504920959473	NaN	18.4378261566162	18.5188369750977	19.2224407196045	18.4800643920898	18.1360607147217	NaN	19.1918106079102	19.1197166442871	19.7051601409912	19.1276473999023	18.848518371582	NaN	20.4477863311768	18.9993991851807	20.1413345336914	NaN	NaN	NaN	19.215181350708	18.8802299499512	18.7529354095459	18.5771408081055	NaN	NaN	NaN	17.4421653747559	16.6892070770264	NaN	19.6082515716553	NaN				3	3	2	18.2	18.2	12.5	21.429	0	9.8219	35219000	28	P15153;B1AH78;B1AH77;B1AH80;P60763;P63000;A0A3B3IRV0;G3V476;A0A590UJK8;F8WET9;A0A494BZX6;Q5JYX0;J3QLK0;G3V4H1;J3KSC4;A0A494C1M1;B1AH79;P84095;P17081;Q9H4E5	P15153;B1AH78;B1AH77;B1AH80;P60763;P63000	Ras-related C3 botulinum toxin substrate 2;Ras-related C3 botulinum toxin substrate 3;Ras-related C3 botulinum toxin substrate 1	RAC2;RAC3;RAC1	63
